owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
django/django,1305,15621,15621,Python,6243,73,815,false,0,111,more than 10,has followers,0,2751,1,little experience,0,1,100,0,First_Pull,True,false,Nothing to see here  move along.,1251900,2,ghost,closed,Change phone2numeric to use generator expressions instead of lambdas,2012-04-28T07:34:39Z,42012,28/04/2012 19:11,28/04/2012 19:11,697,Very Fast,adrianholovaty,adrianholovaty,merged,6b430b883f3cfdc8a8016c539dd590c9f7e211b1,f4cc78271126b86ca630624aad63d48339bd3db2,,0,no comments,3,some commits,2,,ghost|aaugustin|adrianholovaty,6,7,13,some lines,1,1 file,django/utils,django/utils/text.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,20,96,more than 10,has followers,47,1977,0,no experience,0,0,0,0,First_Pull,True,false,Tel Aviv-Jaffa  Israel,1252195,6,yuvadm,closed,Convert README to README.rst,2012-04-28T11:27:26Z,42012,28/04/2012 18:25,,417,Very Fast,adrianholovaty,,closed,61e9abfdeb6a970f5a36c81d208efa1d4f64a7a1,f4cc78271126b86ca630624aad63d48339bd3db2,,0,no comments,1,1 commit,0,,yuvadm|aaugustin|adrianholovaty,0,0,0,1 line,1,1 file,root,README.rst,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,16,6,4 to 6 followers,has followers,1,1733,0,no experience,0,0,0,0,First_Pull,True,false,,1252479,7,JCB-K,closed,Made the README into valid Markdown,2012-04-28T14:50:34Z,42012,28/04/2012 18:10,,200,Very Fast,carljm,,closed,dabf5331c48362b16d843865857c726d68643e26,10cade8fac143984fc8416f3179c955e9f0c7f7b,,0,no comments,2,some commits,3,,JCB-K|sindresorhus|aaugustin|carljm,47,0,47,many lines,1,1 file,root,README.md,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,14,11,more than 10,has followers,12,1700,0,no experience,0,0,0,0,First_Pull,True,false,,1252735,8,davehughes,closed,Added DEBUG_PLAINTEXT_AJAX_ERROR_MESSAGES setting to customize error display,2012-04-28T17:15:07Z,42012,29/04/2012 18:49,,1534,Fast,adrianholovaty,,closed,116061296d1f0e69230f9ba3159c8f16aa357472,10cade8fac143984fc8416f3179c955e9f0c7f7b,,0,no comments,1,1 commit,1,,davehughes|aaugustin|adrianholovaty,3,1,4,some lines,1,1 file,django/views,django/views/debug.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,12,4,4 to 6 followers,has followers,2,2219,0,no experience,0,0,0,0,First_Pull,True,false,Boston  MA,1252743,9,t0m,closed,Fixed typo  instanciating -> instantiating in django/views/generic/edit.py,2012-04-28T17:19:17Z,42012,28/04/2012 18:18,28/04/2012 18:18,59,Very Fast,adrianholovaty,adrianholovaty,merged,a0d34348dd680a180496d1cc5d3bdbaec249f3f0,10cade8fac143984fc8416f3179c955e9f0c7f7b,,0,no comments,1,1 commit,1,,t0m|adrianholovaty,2,2,4,some lines,1,1 file,django/views/generic,django/views/generic/edit.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,22,94,more than 10,has followers,9,2360,0,no experience,0,0,0,0,First_Pull,True,false,New York City,1252825,10,kleinmatic,closed,Updated some antique references in  Is Django stable? ,2012-04-28T18:18:09Z,42012,28/04/2012 18:19,28/04/2012 18:19,1,Very Fast,adrianholovaty,adrianholovaty,merged,5c3e88060e286ffa28092d7d6e49edde857053c7,2cadd8623915227d594be2b5a2749435215dd240,,0,no comments,1,1 commit,1,kleinmatic,kleinmatic|adrianholovaty,2,3,5,some lines,1,1 file,docs/faq,docs/faq/general.txt,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,25,70,more than 10,has followers,7,2263,0,no experience,0,0,0,0,First_Pull,True,false,Washington  DC (ish),1252981,13,matthewwithanm,closed,i18n javascript_catalog View Pollutes Global Namespace,2012-04-28T19:48:21Z,42012,14/04/2013 21:04,,505515,Very Slow,ramiro,,closed,d954aecfd25177e7e4564b312005a3cf07c34efb,d9330d5be2ee60b208dcab2616eb164ea2e6bf36,,3,has comments,14,many commits,2,apollo13,matthewwithanm|apollo13|uruz|aaugustin|jezdez|ramiro,131,118,249,many lines,3,some files,django/views|tests/view_tests/tests|root,django/views/i18n.py|tests/view_tests/tests/i18n.py|AUTHORS,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,23,70,more than 10,has followers,7,2263,1,little experience,0,1,100,0,First_Pull,True,false,Washington  DC (ish),1252996,14,matthewwithanm,closed,i18n javascript_catalog Reference Error,2012-04-28T19:56:47Z,42012,28/04/2012 21:40,28/04/2012 21:40,103,Very Fast,adrianholovaty,adrianholovaty,merged,97502a96f4c51131e4e4c11bf8824de23ad5246f,50b0984a8b83133e7108098da9807e94c853364b,,0,no comments,1,1 commit,1,,matthewwithanm|adrianholovaty,1,1,2,some lines,1,1 file,django/views,django/views/i18n.py,external,false,false,some contributions
django/django,1305,15621,15621,Python,6243,73,815,false,28,842,more than 10,has followers,37,2583,0,no experience,0,0,0,0,First_Pull,True,false,London  UK,1253050,15,jasondavies,closed,Fix bullet formatting for README.rst.,2012-04-28T20:23:11Z,42012,28/04/2012 21:05,28/04/2012 21:05,42,Very Fast,adrianholovaty,adrianholovaty,merged,02bed132c23e438ca5862af484480c34dc15dc71,50b0984a8b83133e7108098da9807e94c853364b,,0,no comments,1,1 commit,2,adrianholovaty,jasondavies|adrianholovaty,18,18,36,many lines,1,1 file,root,README.rst,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,33,53,more than 10,has followers,0,2266,0,no experience,0,0,0,0,First_Pull,True,false,Espoo  Finland,1253340,16,akaariai,closed,Made table_names() output sorted.,2012-04-28T23:28:39Z,42012,29/04/2012 00:19,29/04/2012 00:19,51,Very Fast,adrianholovaty,adrianholovaty,merged,527cce80dc03b57f8654f4a5ea64a17a1b3ef7d9,c2055ee1610e610c372cc17c34e4e1686fcb2011,,0,no comments,1,1 commit,10,akaariai,akaariai|adrianholovaty,22,8,30,many lines,6,many files,django/core/management/commands|django/core/management|django/db/backends|django/db/backends/mysql|django/db/backends/sqlite3|tests/regressiontests/introspection,django/core/management/commands/inspectdb.py|django/core/management/sql.py|django/db/backends/__init__.py|django/db/backends/mysql/base.py|django/db/backends/sqlite3/base.py|tests/regressiontests/introspection/tests.py,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,37,33,more than 10,has followers,27,2056,0,no experience,0,0,0,0,First_Pull,True,false,India,1253535,17,aviraldg,closed,Fixed #17967: Hide  Change Password  link in admin if user.has_usable_password is False.,2012-04-29T02:07:38Z,42012,29/04/2012 05:22,29/04/2012 05:22,194,Very Fast,adrianholovaty,adrianholovaty,merged,9bea85795705d015cdadc82c68b99196a8554f5c,97c899284000df8d733f5cff7ec8e8406a455c8c,,0,no comments,1,1 commit,2,claudep,aviraldg|adrianholovaty,2,0,2,some lines,1,1 file,django/contrib/admin/templates/admin,django/contrib/admin/templates/admin/base.html,external,false,false,no contribution
django/django,1305,15621,15621,Python,6243,73,815,false,41,33,more than 10,has followers,27,2056,1,little experience,1,0,0,100,more than 75%,False,false,India,1253581,18,aviraldg,closed,Fixed #18233: Raise IOError if destination file already exists  in django.core.files.move.file_move_safe.,2012-04-29T02:45:22Z,42012,16/07/2012 16:40,,113155,Very Slow,akaariai,,closed,872b9761fbe93d74ab4f51728859cb1c14180424,fb8ec2855bac1fd335a00ac5b550ae54aea3100f,,1,has comments,2,some commits,1,crodjer,aviraldg|gabrielfalcao|akaariai|jezdez,25,0,25,many lines,3,some files,tests/regressiontests/file_storage|root|django/core/files,tests/regressiontests/file_storage/tests.py|AUTHORS|django/core/files/move.py,external,false,false,some contributions
